"Evaluador","ID","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","intercanina_sup","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","intercanina_inf","Edad","Sexo","Estatura","Origen"
3,84,8.75,7.57,8.83,8.74,7.61,8.95,25.83,25.91,44.17,6.04,6.61,8.09,5.78,6.75,8.25,18.13,19.08,32.56,18,"F",1.73,"Ciudad de México"
3,87,7.76,7.53,7.71,8.51,6.92,7.98,23.95,23.73,37.29,5.85,6.22,7.39,5.57,6.08,7.43,18.35,18.73,29.36,18,"M",1.75,"Ciudad de México"
3,90,7.84,6.46,7.71,7.61,5.96,7.86,19.63,19.75,31.29,5.27,5.71,6.68,5.16,5.88,6.33,15.36,16.23,26.17,18,"F",1.57,"Ciudad de México"
3,95,8.51,6.71,7.59,8.62,6.88,7.97,22.82,22.71,36.02,5.45,6.01,6.61,5.47,6.12,6.95,16.84,17.55,26.71,19,"F",1.67,"Ciudad de México"
3,96,8.97,7.97,8.04,9.2,7.92,7.62,24.53,24.6,39.03,5.99,6.4,7.56,6.07,6.49,6.68,18.23,18.34,29.12,19,"F",1.7,"Ciudad de México"
3,97,8.15,6.84,7.82,8.02,7.26,7.79,22.47,22.48,35.18,5.21,5.51,6.42,5.11,5.81,7.08,17.76,18.06,28.19,18,"F",1.57,"Ciudad de México"
3,99,8.88,7.26,7.73,8.91,6.62,7.78,22.28,23.41,34.78,5.66,6.27,7.45,5.42,4.89,7.27,17.31,16.67,27.26,19,"M",1.81,"Ciudad de México"
3,102,9.13,8.33,7.91,9.03,8.18,7.96,25.56,25.38,38.84,5.74,6.02,6.18,5.72,6.03,6.81,19.12,18.64,30.61,17,"F",1.51,"Ciudad de México"
3,105,8.12,5.56,8.32,8.1,6.13,8.34,23.12,22.94,37.17,4.97,5.62,6.77,4.91,5.54,6.08,16.67,16.96,28.22,21,"F",1.56,"Ciudad de México"
3,106,9.57,7.11,8.64,9.55,6.79,8.82,24.99,25.6,40.42,5.39,6.16,7.56,5.44,6.32,6.8,18.27,18.93,31.25,19,"F",1.61,"Querétaro"
3,107,9.08,7.28,7.23,8.37,7.12,7.07,24.84,23.77,39.09,5.69,6.05,7.36,6.01,5.96,7.28,19.17,17.67,30.38,43,"F",1.62,"Ciudad de México"
3,108,9.92,6.24,8.06,9.75,6.11,8.14,25.61,25.76,38.03,6.33,7.02,7.01,5.73,6.59,7.12,18.98,19.09,31.18,20,"F",1.67,"Ciudad de México"
3,109,7.44,6.94,6.06,7.71,6.22,6.77,20.59,21.51,33.71,4.95,6.15,6.21,5.07,6.61,6.71,16.41,17.67,27.02,54,"F",1.53,"Michoacán"
3,110,8.34,4.91,8.26,8.72,5.23,8.39,23.72,24.51,39.88,5.16,6.46,7.02,4.93,6.26,6.42,17.87,17.94,26.86,18,"M",1.71,"Estado de México"
3,111,8.44,7.83,6.93,8.31,7.7,6.87,23.01,22.38,38.09,5.77,5.64,6.58,5.54,5.94,6.73,17.55,16.62,29.87,19,"F",1.63,"Ciudad de México"
3,112,8.91,6.61,8.32,8.86,6.14,8.12,24.33,24.53,40.91,5.38,6.39,6.43,5.52,6.15,7.73,18.39,19.07,30.66,20,"M",1.66,"Ciudad de México"
3,113,9.12,7.86,7.48,8.89,7.61,8.15,25.07,24.84,40.11,5.29,5.53,6.24,5.24,5.65,5.79,17.82,17.86,30.48,47,"M",1.75,"Ciudad de México"
3,114,8.61,5.65,7.53,8.61,6.43,7.99,23.24,22.68,36.99,5.3,6.13,5.74,5.03,5.86,6.34,15.53,17.08,27.75,29,"M",1.69,"Ciudad de México"
3,116,8.56,6.19,7.49,8.41,5.74,8.26,23.03,22.25,35.06,5.24,5.78,6.77,4.82,6.07,6.14,17.63,17.34,28.68,22,"M",1.71,"Ciudad de México"
3,117,8.38,6.05,6.3,8.91,5.57,6.33,21.84,20.92,34.73,5.8,5.75,7.04,5.62,6.32,6.81,15.78,16.79,27.53,23,"F",1.59,"Estado de México"
3,118,8.31,6.83,7.97,8.08,6.39,8.03,22.04,22.75,38.75,5.09,6.46,7.22,5.94,6.43,7.14,16.84,17.95,28.53,59,"F",1.51,"Michoacán"
3,119,8.34,6.72,7.45,7.77,5.61,7.16,22.71,22.13,36.82,5.48,6.03,6.77,5.49,6.19,6.56,18.28,18.12,30.55,32,"F",1.56,"Ciudad de México"
3,120,8.56,7.27,7.97,8.46,6.65,8.17,23.78,23.16,37.66,5.42,6.43,6.79,5.72,6.34,6.78,18.34,19.02,31.88,48,"F",1.55,"Michoacán"
3,121,8.17,6.88,9.07,8.35,6.9,9.03,25.16,25.19,39.23,6.41,6.42,7.13,6.18,6.77,7.26,19.75,19.48,31.98,19,"F",1.55,"Ciudad de México"
3,122,8.86,6.67,8.05,8.82,5.95,7.18,23.25,22.57,34.67,5.24,5.61,6.39,4.95,5.47,6.08,17.34,17.75,27.73,27,"F",1.55,"Ciudad de México"
3,123,8.06,6.96,8.09,7.89,6.61,8.24,22.86,23.53,38.17,5.65,6.48,7.03,5.68,6.44,7.03,17.87,17.99,29.25,25,"M",1.74,"Ciudad de México"
3,124,7.58,6.05,8.27,7.73,6.06,7.91,22.47,22.92,35.78,5.35,5.79,6.66,5.14,5.88,6.72,17.18,17.18,28.63,19,"F",1.61,"Ciudad de México"
3,125,8.67,6.87,8.32,8.81,6.77,7.89,23.7,23.63,37.37,5.92,6.38,6.56,5.93,6.19,7.02,19.07,18.93,30.38,18,"M",1.78,"Estado de México"
3,126,8.55,5.91,7.46,8.06,5.94,7.45,21.87,22.03,35.72,5.16,6.36,6.55,5.28,5.63,6.46,16.66,17.36,28.23,19,"F",1.45,"Estado de México"
3,127,8.94,6.12,7.72,9.31,6.51,7.87,23.31,23.38,36.67,4.96,5.63,5.66,5.37,5.94,6.37,17.57,17.57,27.13,31,"F",1.61,"Estado de México"
3,128,8.53,7.63,8.31,8.81,7.18,7.93,24.55,24.69,38.51,5.72,6.14,6.95,5.87,6.22,6.67,19.22,19.28,30.91,25,"F",1.67,"Ciudad de México"
3,129,8.57,7.72,6.91,9.43,7.46,7.37,23.89,23.81,37.54,4.94,6.26,6.72,5.02,5.71,6.72,18.24,17.46,27.11,25,"F",1.58,"Estado de México"
3,130,8.62,6.46,8.24,8.39,7.15,8.35,24.04,24.35,39.53,6.02,6.96,6.12,6.95,5.92,7.09,19.16,21.16,30.67,44,"F",1.71,"Ciudad de México"
